30,Peekaboo Kidz,"Peekaboo Kidz is a collection of fun, animated edutainment videos covering a host of everyday general knowledge topics.","https://www.youtube.com/user/Peekaboo/,https://www.youtube.com/user/Peekaboo/",0,5,"Science, Social Science",Free,3,English,EN
31,Etoos Education,"A collection of instructor-led video lectures across Physics, Chemistry, and Biology to assist preparation for competitive exams such as IITJEE and NEET.","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",14,14,"IITJEE, NEET",Free,3,Hindi,EN
32,Etoos Education,"A collection of instructor-led video lectures across Physics, Chemistry, and Biology for grades 11 and 12.","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",11,12,Science,Free,3,Hindi,EN
33,DronStudy,DronStudy hosts instructor-led videos that use animated visuals and demonstrations to cover topics in Science and Math.,"https://www.youtube.com/channel/UCPiuJvuyMVFSwcIdBCTpTyQ/videos,https://play.google.com/store/apps/details?id=gnhub.dronstudy.web&hl=en_IN",8,12,"Science, Math",Free,3,Hindi,EN
34,Helios Educore,"Helios Educore hosts a library of instructor-led video lectures across Physics, Chemistry, and Biology to assist preparation for competitive exams such as IITJEE and NEET.","https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured,https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured",14,14,"IITJEE, NEET",Free,3,Hindi,EN
35,Toon Mastieyf,"A collection of fun animated videos in Hindi that use nursery rhymes and short stories to cover topics in Math, EVS, and language for grades K-5.","https://www.youtube.com/user/toonmastieyf/featured,https://www.youtube.com/user/toonmastieyf/featured",0,5,"Science, Math, Hindi",Free,3,"Hindi, English",EN
36,ATP Star,Whiteboard-style lectures covering various topics in Science to help students prepare for JEE/NEET exams.,"https://www.youtube.com/channel/UCwdvPgmU5qHPB2NsDLAmS1g/featured,https://play.google.com/store/apps/details?id=com.app.atpstar&hl=en_IN",14,14,"IITJEE, NEET",Free,3,Hindi,EN
37,mLearningIndia,A collection of instructor-led video lectures across Physics and Chemistry to assist preparation for competitive exams such as IITJEE and NEET.,"https://www.youtube.com/user/mlearningindia,https://play.google.com/store/apps/details?id=com.it.mlearning",14,14,"IITJEE, NEET",Free,3,Hindi,EN
38,iKen Edu,"A library of animated videos breaking down topics in Science, Math, Social Science, and English for grades K through 12.","https://www.youtube.com/user/IkenEdu/videos,https://www.youtube.com/user/IkenEdu/videos",0,12,"English, Math, Science, Social Science",Free,3,"English, Hindi",EN
39,JOJO TV,JOJO TV is an edutainment channel featuring animated videos with short stories and nursery rhymes in Hindi for young children aged 1 to 8.,"JOJO TV - Hindi==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;JOJO TV - Tamil==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;JOJO TV - Telugu==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;JOJO TV - Bengali==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw,JOJO TV - Hindi==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;JOJO TV - Tamil==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;JOJO TV - Telugu==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;JOJO TV - Bengali==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw",15,15,"Reading, Listening, Speaking",Free,3,"Hindi, Tamil, Telugu, Bengali",EN
